                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 2.1724,                 1.4956,                 1.1928,                0.64247,                 0.4772,                0.52705,                 0.2112,                 2.1552,                 1.4545,                 1.1758,             0.00025479,             0.00025479,             0.00025479
                     86,                 2.1458,                 1.4708,                 1.1948,                0.64335,                0.47738,                0.52742,                0.21147,                 2.1748,                 1.4483,                 1.1884,             0.00024064,             0.00024064,             0.00024064
                     87,                  2.165,                 1.4641,                 1.1798,                0.63041,                0.48068,                0.52827,                0.21227,                 2.1677,                 1.4608,                  1.181,              0.0002265,              0.0002265,              0.0002265
                     88,                 2.1703,                 1.4703,                 1.1827,                0.62755,                0.48403,                0.52248,                0.20736,                 2.1805,                 1.4648,                 1.1861,             0.00021235,             0.00021235,             0.00021235
                     89,                 2.1589,                 1.4783,                 1.1819,                0.62388,                0.47802,                0.52077,                0.20624,                   2.17,                 1.4696,                 1.1816,              0.0001982,              0.0001982,              0.0001982
                     90,                 2.1699,                 1.4863,                   1.19,                0.64545,                 0.4716,                0.51934,                0.20772,                 2.1719,                 1.4544,                 1.1865,             0.00018406,             0.00018406,             0.00018406
                     91,                 2.0911,                 1.4997,                 1.2143,                 0.5921,                 0.4702,                0.51674,                  0.208,                 2.1766,                  1.465,                 1.1846,             0.00016991,             0.00016991,             0.00016991
                     92,                 2.0824,                 1.4478,                  1.216,                0.57418,                0.47556,                0.52239,                0.21058,                  2.167,                 1.4764,                 1.1818,             0.00015576,             0.00015576,             0.00015576
                     93,                 2.0772,                 1.4446,                 1.2192,                0.61672,                0.46031,                0.52124,                0.21131,                 2.1674,                  1.476,                 1.1842,             0.00014161,             0.00014161,             0.00014161
                     94,                 2.0824,                 1.4539,                 1.2105,                0.64021,                0.46877,                0.52946,                0.21258,                 2.1614,                 1.4789,                 1.1793,             0.00012747,             0.00012747,             0.00012747
                     95,                 2.0588,                 1.4526,                  1.211,                0.63815,                0.45211,                0.52846,                0.21271,                 2.1661,                 1.4687,                 1.1822,             0.00011332,             0.00011332,             0.00011332
                     96,                 2.0614,                 1.4364,                 1.2121,                0.66293,                0.45346,                0.53161,                0.21565,                 2.1638,                 1.4644,                  1.179,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 2.0689,                 1.4379,                 1.2117,                0.64921,                0.45904,                0.53018,                0.21551,                 2.1696,                 1.4611,                  1.183,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 2.0559,                 1.4158,                 1.2203,                0.64147,                0.45653,                0.53086,                0.21563,                 2.1696,                 1.4587,                 1.1817,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 2.0539,                 1.4302,                 1.2059,                0.65615,                0.46046,                0.53042,                0.21564,                 2.1681,                  1.459,                 1.1796,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 2.0668,                 1.4284,                 1.2007,                0.65002,                0.46862,                0.53212,                0.21599,                 2.1658,                 1.4594,                 1.1803,             4.2584e-05,             4.2584e-05,             4.2584e-05
